subject,condition,component,amplitude,latency
M1_session_19__set_1_coilqppa.h5,pre,P30,5.4412055,32.4
M1_session_19__set_1_coilqppa.h5,pre,N45,5.343802,35.2
M1_session_19__set_1_coilqppa.h5,pre,P60,4.687256,50.4
M1_session_19__set_1_coilqppa.h5,pre,N100,4.4371314,121.2
M1_session_19__set_1_coilqppa.h5,pre,P180,4.6016293,216.6
M1_session_19__set_1_coilqppa.h5,imagery,P30,6.8149376,31.2
M1_session_19__set_1_coilqppa.h5,imagery,N45,6.5106473,35.0
M1_session_19__set_1_coilqppa.h5,imagery,P60,4.7912445,50.0
M1_session_19__set_1_coilqppa.h5,imagery,N100,6.337461,130.2
M1_session_19__set_1_coilqppa.h5,imagery,P180,5.9388094,217.4
M1_session_19__set_1_coilqppa.h5,post,P30,0.0,20.0
M1_session_19__set_1_coilqppa.h5,post,N45,0.0,35.0
M1_session_19__set_1_coilqppa.h5,post,P60,0.0,50.0
M1_session_19__set_1_coilqppa.h5,post,N100,0.0,80.0
M1_session_19__set_1_coilqppa.h5,post,P180,0.0,150.0
M1_session_19__set_2_coilTpa.h5,pre,P30,4.162736,20.4
M1_session_19__set_2_coilTpa.h5,pre,N45,3.817019,49.8
M1_session_19__set_2_coilTpa.h5,pre,P60,3.8166778,50.0
M1_session_19__set_2_coilTpa.h5,pre,N100,5.81381,114.8
M1_session_19__set_2_coilTpa.h5,pre,P180,4.4151855,201.2
M1_session_19__set_2_coilTpa.h5,imagery,P30,2.9891665,24.0
M1_session_19__set_2_coilTpa.h5,imagery,N45,2.5729585,58.6
M1_session_19__set_2_coilTpa.h5,imagery,P60,2.5729585,58.6
M1_session_19__set_2_coilTpa.h5,imagery,N100,3.015452,115.6
M1_session_19__set_2_coilTpa.h5,imagery,P180,3.7695863,225.2
M1_session_19__set_2_coilTpa.h5,post,P30,0.0,20.0
M1_session_19__set_2_coilTpa.h5,post,N45,0.0,35.0
M1_session_19__set_2_coilTpa.h5,post,P60,0.0,50.0
M1_session_19__set_2_coilTpa.h5,post,N100,0.0,80.0
M1_session_19__set_2_coilTpa.h5,post,P180,0.0,150.0
M1_session_19__set_3_coilTap.h5,pre,P30,5.037264,34.8
M1_session_19__set_3_coilTap.h5,pre,N45,5.027636,35.0
M1_session_19__set_3_coilTap.h5,pre,P60,4.217404,62.6
M1_session_19__set_3_coilTap.h5,pre,N100,6.0885525,104.0
M1_session_19__set_3_coilTap.h5,pre,P180,7.0066442,204.4
M1_session_19__set_3_coilTap.h5,imagery,P30,8.00191,34.6
M1_session_19__set_3_coilTap.h5,imagery,N45,7.98458,43.2
M1_session_19__set_3_coilTap.h5,imagery,P60,6.1623116,50.0
M1_session_19__set_3_coilTap.h5,imagery,N100,6.6979322,134.6
M1_session_19__set_3_coilTap.h5,imagery,P180,5.906283,199.2
M1_session_19__set_3_coilTap.h5,post,P30,0.0,20.0
M1_session_19__set_3_coilTap.h5,post,N45,0.0,35.0
M1_session_19__set_3_coilTap.h5,post,P60,0.0,50.0
M1_session_19__set_3_coilTap.h5,post,N100,0.0,80.0
M1_session_19__set_3_coilTap.h5,post,P180,0.0,150.0
M1_session_20__set_1_coilTap.h5,pre,P30,6.114623,26.2
M1_session_20__set_1_coilTap.h5,pre,N45,5.1099296,35.0
M1_session_20__set_1_coilTap.h5,pre,P60,2.619076,50.0
M1_session_20__set_1_coilTap.h5,pre,N100,4.7183366,128.4
M1_session_20__set_1_coilTap.h5,pre,P180,4.496367,217.4
M1_session_20__set_1_coilTap.h5,imagery,P30,2.934018,27.2
M1_session_20__set_1_coilTap.h5,imagery,N45,2.2679489,60.0
M1_session_20__set_1_coilTap.h5,imagery,P60,3.2638893,75.4
M1_session_20__set_1_coilTap.h5,imagery,N100,2.845293,132.4
M1_session_20__set_1_coilTap.h5,imagery,P180,3.1326241,199.4
M1_session_20__set_1_coilTap.h5,post,P30,0.0,20.0
M1_session_20__set_1_coilTap.h5,post,N45,0.0,35.0
M1_session_20__set_1_coilTap.h5,post,P60,0.0,50.0
M1_session_20__set_1_coilTap.h5,post,N100,0.0,80.0
M1_session_20__set_1_coilTap.h5,post,P180,0.0,150.0
M1_session_20__set_8_coilTpa.h5,pre,P30,4.0065722,33.2
M1_session_20__set_8_coilTpa.h5,pre,N45,4.4833922,50.4
M1_session_20__set_8_coilTpa.h5,pre,P60,4.4833922,50.4
M1_session_20__set_8_coilTpa.h5,pre,N100,3.5009165,108.0
M1_session_20__set_8_coilTpa.h5,pre,P180,3.9004383,156.2
M1_session_20__set_8_coilTpa.h5,imagery,P30,2.419797,36.8
M1_session_20__set_8_coilTpa.h5,imagery,N45,2.7775042,53.0
M1_session_20__set_8_coilTpa.h5,imagery,P60,3.0089934,79.2
M1_session_20__set_8_coilTpa.h5,imagery,N100,3.5612843,91.4
M1_session_20__set_8_coilTpa.h5,imagery,P180,3.5136986,157.6
M1_session_20__set_8_coilTpa.h5,post,P30,0.0,20.0
M1_session_20__set_8_coilTpa.h5,post,N45,0.0,35.0
M1_session_20__set_8_coilTpa.h5,post,P60,0.0,50.0
M1_session_20__set_8_coilTpa.h5,post,N100,0.0,80.0
M1_session_20__set_8_coilTpa.h5,post,P180,0.0,150.0
M1_session_20__set_9_coilqppa.h5,pre,P30,2.3929932,39.8
M1_session_20__set_9_coilqppa.h5,pre,N45,2.66149,48.8
M1_session_20__set_9_coilqppa.h5,pre,P60,2.6207569,50.2
M1_session_20__set_9_coilqppa.h5,pre,N100,3.8418562,122.8
M1_session_20__set_9_coilqppa.h5,pre,P180,2.7156441,216.2
M1_session_20__set_9_coilqppa.h5,imagery,P30,2.2511194,40.0
M1_session_20__set_9_coilqppa.h5,imagery,N45,4.3609037,58.0
M1_session_20__set_9_coilqppa.h5,imagery,P60,4.3609037,58.0
M1_session_20__set_9_coilqppa.h5,imagery,N100,4.2026415,80.0
M1_session_20__set_9_coilqppa.h5,imagery,P180,4.28331,167.0
M1_session_20__set_9_coilqppa.h5,post,P30,0.0,20.0
M1_session_20__set_9_coilqppa.h5,post,N45,0.0,35.0
M1_session_20__set_9_coilqppa.h5,post,P60,0.0,50.0
M1_session_20__set_9_coilqppa.h5,post,N100,0.0,80.0
M1_session_20__set_9_coilqppa.h5,post,P180,0.0,150.0
M1_session_21__set_1_coilTap.h5,pre,P30,2.3421218,24.4
M1_session_21__set_1_coilTap.h5,pre,N45,2.276955,45.2
M1_session_21__set_1_coilTap.h5,pre,P60,1.9388751,50.0
M1_session_21__set_1_coilTap.h5,pre,N100,3.129243,134.8
M1_session_21__set_1_coilTap.h5,pre,P180,3.1310635,167.6
M1_session_21__set_1_coilTap.h5,imagery,P30,2.8631606,37.0
M1_session_21__set_1_coilTap.h5,imagery,N45,2.8631606,37.0
M1_session_21__set_1_coilTap.h5,imagery,P60,3.66398,65.4
M1_session_21__set_1_coilTap.h5,imagery,N100,3.2088077,139.6
