record,n_epoch,movement_found,onset_time,peak_time,peak_amp,peak_prominence,peak_area,peak_times,peak_onsets,peak_amps,peak_areas,threshold,noise_median,noise_sigma,fraction_max,n_peaks
09_06TG_tms_43MSO_real.hdf,1,True,79.74493623405851,90.9477369342336,1.6240578079607254e-08,1.623985905228678e-08,9.681412103310258e-08,"[90.9477369342336, 103.95098774693679, 119.75493873468372, 135.35883970992757]","[79.74493623405851, 79.74493623405851, 117.95448862215562, 131.55788947236817]","[1.6240578079607254e-08, 2.5319472875637354e-09, 1.8544382713623665e-10, 3.58261262003742e-09]","[9.681412103310258e-08, 1.9803302772777452e-08, 1.6478583896751192e-09, 1.27246207720186e-08]",1.1320584462128289e-10,5.795863194475902e-12,7.1606654284537996e-12,1.0,4
09_06TG_tms_43MSO_real.hdf,2,False,,,,,,[],[],[],[],1.032278921363411e-10,5.7233504959385845e-12,6.5003027760268345e-12,0.0,0
09_06TG_tms_43MSO_real.hdf,3,True,75.14378594648667,78.94473618404606,3.603244288299742e-09,3.6015458228003805e-09,1.2327726161669895e-08,"[78.94473618404606, 94.5486371592898, 188.9722430607652]","[75.14378594648667, 91.74793698424605, 187.97199299824956]","[3.603244288299742e-09, 2.9742241648785726e-10, 1.9756855355649367e-10]","[1.2327726161669895e-08, 9.82894061944183e-10, 1.8976425363227263e-10]",1.0769598139171303e-10,6.13000390230259e-12,6.771065165960696e-12,1.0,3
09_06TG_tms_43MSO_real.hdf,4,True,93.14828707176798,98.1495373843461,2.1082094176120487e-09,2.107496053742123e-09,9.400022513730213e-09,"[98.1495373843461, 111.55288822205557, 190.7726931732933, 215.17879469867466, 227.1817954488622, 252.18804701175293]","[93.14828707176798, 106.35158789697425, 188.57214303575893, 214.97874468617158, 217.9794948737184, 250.9877469367342]","[2.1082094176120487e-09, 5.205992746130572e-10, 7.052752496384333e-10, 1.150005227540081e-10, 7.143512228295332e-10, 2.03805878151773e-10]","[9.400022513730213e-09, 1.917310660468433e-09, 1.7054528922169065e-09, 1.4113345502180753e-09, 3.511767650281809e-09, 1.8973970729810943e-10]",1.1252785378957453e-10,6.055991385033536e-12,7.098124160302734e-12,0.9512195121951219,6
09_06TG_tms_43MSO_real.hdf,5,True,75.14378594648667,76.14403600900232,3.172406186553359e-09,3.171137640917782e-09,9.907522918856702e-09,"[76.14403600900232, 86.54663665916485, 97.94948737184302, 114.95373843460868, 234.5836459114779, 251.98799699924984]","[75.14378594648667, 83.7459364841211, 83.7459364841211, 112.15303825956494, 232.5831457864466, 250.38759689922483]","[3.172406186553359e-09, 8.057368188448261e-10, 2.682383716033722e-09, 1.2020860772393654e-09, 6.382185127545472e-10, 1.7730663298083456e-10]","[9.907522918856702e-09, 3.912094621004297e-09, 9.627722762945076e-09, 4.548776262044374e-09, 1.5461983915348164e-09, 9.3844719558299e-10]",1.1350064375885693e-10,6.020744518297328e-12,7.1653266160373064e-12,0.8536585365853658,6
09_06TG_tms_43MSO_real.hdf,6,False,,,,,,[],[],[],[],1.3809121920273587e-10,7.596890520044428e-12,8.69962191217943e-12,0.0,0
09_06TG_tms_43MSO_real.hdf,7,True,-16.079019754938713,-11.277819454863675,2.1938435718062844e-09,2.1932407479064377e-09,1.5658722538059004e-08,"[-58.28957239309824, -28.482120530132534, -11.277819454863675]","[-61.09027256814204, -34.88372093023253, -16.079019754938713]","[5.855408452445024e-10, 1.0910016953305096e-09, 2.1938435718062844e-09]","[1.4326490332802648e-09, 5.8100574013637815e-09, 1.5658722538059004e-08]",1.5020726391224432e-10,8.464722732836865e-12,9.44950274529383e-12,1.0,3
09_06TG_tms_43MSO_real.hdf,8,False,,,,,,[],[],[],[],1.2190296104540114e-10,8.112211074436772e-12,7.586049998064292e-12,0.0,0
09_06TG_tms_43MSO_real.hdf,9,True,80.34508627156788,85.14628657164292,1.8508659532776945e-09,1.851190362003175e-09,5.5976154761723575e-09,"[85.14628657164292, 96.54913728432109, 107.75193798449618]","[80.34508627156788, 95.14878719679928, 105.5513878469618]","[1.8508659532776945e-09, 4.1177717336808425e-10, 3.426154846420726e-10]","[5.5976154761723575e-09, 7.713706818131068e-10, 7.849675165450216e-10]",1.2111278740291052e-10,7.898801220028472e-12,7.547599078858804e-12,0.9024390243902439,3
09_06TG_tms_43MSO_real.hdf,10,False,,,,,,[],[],[],[],1.2122880434278759e-10,7.58707696062077e-12,7.576115158811121e-12,0.0,0
