subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
01AV,38,real,M1_PA,rest,n20,10.0,25.0,23.085839864611625,-23.085839864611625,20.933333333333337,-23.306813863515853,21.80000000000001,38,3,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p30,20.0,40.0,11.274479441518585,11.274479441518585,21.933333333333337,11.498076905310153,22.399999999999977,15,3,Fp2,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n45,40.0,55.0,6.687718035380045,-6.687718035380045,53.466666666666676,-6.776524267196655,53.60000000000002,62,3,FT8,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,p60,55.0,70.0,18.017613832155863,18.017613832155863,62.6,18.09518074989319,62.60000000000002,9,3,C3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,rest,n100,80.0,120.0,17.47185363570849,-17.47185363570849,106.39999999999999,-17.53432732820511,106.19999999999999,38,3,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,n20,10.0,25.0,11.133809886773427,-11.133809886773427,17.999999999999982,-11.61196933031082,18.19999999999999,38,3,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,p30,20.0,40.0,10.997037037797272,10.997037037797272,35.666666666666686,11.022623045444488,35.60000000000002,9,3,C3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,n45,40.0,55.0,9.772873429656029,-9.772873429656029,48.466666666666676,-9.918137193322181,48.80000000000001,46,3,AF4,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,p60,55.0,70.0,13.71900445237756,13.71900445237756,55.4,13.748145434856415,55.39999999999998,38,3,CP3,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
01AV,38,real,M1_PA,onset,n100,80.0,120.0,9.391059948951005,-9.391059948951005,83.46666666666668,-9.510988606512546,83.0,45,3,F1,session_38__set_1__cleaned_SOUND.mat; session_38__set_5__cleaned_SOUND.mat,01_01AV_M1_PA_39MSO_real.hdf5; 05_01AV_M1_PA_39MSO_real.hdf5
