subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
03AZ,40,real,M1_PA,rest,n20,10.0,25.0,5.255261071324349,-5.255261071324349,15.733333333333348,-5.3693576954305176,15.800000000000011,41,3,PO7,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,rest,p30,20.0,40.0,5.58313028857112,5.58313028857112,30.999999999999982,5.694073748141527,33.19999999999999,38,3,CP3,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,rest,n45,40.0,55.0,5.798154703502854,-5.798154703502854,43.666666666666686,-5.878192911148071,42.60000000000002,48,3,FCz,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,rest,p60,55.0,70.0,5.228817381511132,5.228817381511132,66.39999999999999,5.294975020289421,68.80000000000001,22,3,C4,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,rest,n100,80.0,120.0,7.136463109383669,-7.136463109383669,111.2,-7.203951925374567,110.60000000000002,26,3,F8,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n20,10.0,25.0,6.037091882228851,-6.037091882228851,16.066666666666663,-6.361721727848053,16.19999999999999,20,3,O2,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,p30,20.0,40.0,7.630676119327545,7.630676119327545,30.666666666666668,7.914967784881592,31.0,38,3,CP3,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n45,40.0,55.0,8.376948895951111,-8.376948895951111,42.466666666666676,-8.73082195699215,42.60000000000002,48,3,FCz,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,p60,55.0,70.0,5.955237180590629,5.955237180590629,61.53333333333334,6.04742257475853,62.39999999999998,16,3,Cz,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n100,80.0,120.0,5.721998435507218,-5.721998435507218,106.86666666666667,-5.928578498363495,105.60000000000002,49,3,F2,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,after,n20,10.0,25.0,4.857033068314195,-4.857033068314195,14.333333333333334,-4.908564220666886,14.399999999999977,40,3,PO3,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
