subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
05UB,43,real,M1_PA,rest,n20,10.0,25.0,3.466071848149101,-3.466071848149101,10.666666666666666,-3.616856002509594,11.0,6,3,FC5,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,rest,p30,20.0,40.0,2.746790120458851,2.746790120458851,29.933333333333337,2.967288706302643,27.0,9,3,C3,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,rest,n45,40.0,55.0,3.818123752102256,-3.818123752102256,43.333333333333336,-4.1450974706560375,43.0,45,3,F1,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,rest,p60,55.0,70.0,3.4917462519804636,3.4917462519804636,59.80000000000001,3.5209297156333923,55.19999999999999,26,3,F8,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,rest,n100,80.0,120.0,4.277795733312765,-4.277795733312765,105.00000000000001,-4.5113792027533055,112.60000000000002,36,3,C5,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,onset,n20,10.0,25.0,3.50046838534375,-3.50046838534375,11.533333333333323,-3.8253146380186083,10.199999999999989,1,3,TP9,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,onset,p30,20.0,40.0,3.9951203588396313,3.9951203588396313,25.80000000000001,4.332948613166809,26.0,38,3,CP3,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,onset,n45,40.0,55.0,4.915562450190385,-4.915562450190385,47.20000000000001,-5.2791912508010865,47.60000000000002,61,3,AF8,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,onset,p60,55.0,70.0,4.168615819215774,4.168615819215774,60.20000000000001,4.485635878145695,55.39999999999998,36,3,C5,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,onset,n100,80.0,120.0,6.687645457399388,-6.687645457399388,82.53333333333332,-6.873553242534399,83.39999999999998,7,3,F3,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,after,n20,10.0,25.0,5.588824391961097,-5.588824391961097,24.533333333333342,-5.710384882092476,24.600000000000023,14,3,Fz,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,after,p30,20.0,40.0,5.72756832698981,5.72756832698981,28.666666666666668,5.905973421931267,25.600000000000023,55,3,PO4,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,after,n45,40.0,55.0,6.312072953383127,-6.312072953383127,45.4,-6.647550389170647,43.19999999999999,14,3,Fz,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,after,p60,55.0,70.0,5.594238491045933,5.594238491045933,67.13333333333334,6.100838311910629,64.0,31,3,TP10,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_PA,after,n100,80.0,120.0,5.91677730023861,-5.91677730023861,113.53333333333335,-6.052658674716949,115.60000000000002,12,3,Fp1,session_43__set_3__cleaned_SOUND.mat; session_43__set_7__cleaned_SOUND.mat,03_05UB_M1_PA_25MSO_real.hdf5; 07_05UB_M1_PA_25MSO_real.hdf5
05UB,43,real,M1_AP,rest,n20,10.0,25.0,8.253006683290005,-8.253006683290005,15.133333333333326,-10.79413028806448,10.399999999999977,9,3,C3,session_43__set_1__cleaned_SOUND.mat; session_43__set_5__cleaned_SOUND.mat,01_05UB_M1_AP_37MSO_real.hdf5; 05_05UB_M1_AP_37MSO_real.hdf5
05UB,43,real,M1_AP,rest,p30,20.0,40.0,6.373242727965116,6.373242727965116,29.400000000000016,6.6503513859212395,28.600000000000023,40,3,PO3,session_43__set_1__cleaned_SOUND.mat; session_43__set_5__cleaned_SOUND.mat,01_05UB_M1_AP_37MSO_real.hdf5; 05_05UB_M1_AP_37MSO_real.hdf5
05UB,43,real,M1_AP,rest,n45,40.0,55.0,7.485508280110857,-7.485508280110857,50.73333333333335,-7.656556342840195,50.0,14,3,Fz,session_43__set_1__cleaned_SOUND.mat; session_43__set_5__cleaned_SOUND.mat,01_05UB_M1_AP_37MSO_real.hdf5; 05_05UB_M1_AP_37MSO_real.hdf5
05UB,43,real,M1_AP,rest,p60,55.0,70.0,5.520882365157207,5.520882365157207,68.60000000000002,5.921103293597699,69.60000000000002,29,3,P8,session_43__set_1__cleaned_SOUND.mat; session_43__set_5__cleaned_SOUND.mat,01_05UB_M1_AP_37MSO_real.hdf5; 05_05UB_M1_AP_37MSO_real.hdf5
