subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
07IK,42,real,M1_PA,rest,n20,10.0,25.0,3.4547520275910695,-3.4547520275910695,19.53333333333332,-3.572048544883728,19.399999999999977,20,3,O2,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,rest,p30,20.0,40.0,6.900544865926107,6.900544865926107,28.600000000000005,6.9610391402244565,28.600000000000023,9,3,C3,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,rest,n45,40.0,55.0,3.8650919486582276,-3.8650919486582276,44.20000000000001,-4.116111943423748,43.60000000000002,48,3,FCz,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,rest,p60,55.0,70.0,5.409851924379666,5.409851924379666,66.39999999999999,5.546153675019741,66.60000000000002,12,3,Fp1,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,rest,n100,80.0,120.0,7.129233177403608,-7.129233177403608,97.8,-7.251760717928409,98.39999999999998,38,3,CP3,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,onset,n20,10.0,25.0,5.664495740930239,-5.664495740930239,24.80000000000001,-5.794988630414009,24.80000000000001,20,3,O2,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,onset,p30,20.0,40.0,7.689712254454691,7.689712254454691,29.333333333333332,7.741295517385006,31.399999999999977,10,3,CP1,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,onset,n45,40.0,55.0,6.418112774292628,-6.418112774292628,41.79999999999999,-6.456888240575791,42.39999999999998,14,3,Fz,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,onset,p60,55.0,70.0,5.450563367723177,5.450563367723177,56.73333333333333,5.461917481720447,59.39999999999998,51,3,C2,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,onset,n100,80.0,120.0,4.69179102530082,-4.69179102530082,117.53333333333335,-4.8308116894960405,119.0,12,3,Fp1,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,after,n20,10.0,25.0,4.512929319515824,-4.512929319515824,10.199999999999989,-4.7544055423140525,10.0,48,3,FCz,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
