subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
08EN,45,real,M1_PA,rest,n20,10.0,25.0,5.485296783347924,-5.485296783347924,17.066666666666663,-5.555551668405533,10.800000000000011,13,3,FC1,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,rest,p30,20.0,40.0,9.804097193479537,9.804097193479537,31.066666666666663,11.194453373551369,36.0,34,3,AF7,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,rest,n45,40.0,55.0,4.614939861794313,-4.614939861794313,44.0,-4.815687652230263,44.80000000000001,16,3,Cz,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,rest,p60,55.0,70.0,8.118523712631626,8.118523712631626,58.6,8.626576260738075,59.0,12,3,Fp1,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,rest,n100,80.0,120.0,4.7817445294559,-4.7817445294559,110.2,-4.9859100669622425,114.19999999999999,41,3,PO7,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,onset,n20,10.0,25.0,5.960235937833787,-5.960235937833787,15.866666666666655,-6.291719117164612,15.0,29,3,P8,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,onset,p30,20.0,40.0,10.618577729960284,10.618577729960284,38.466666666666676,11.865328833460808,39.60000000000002,34,3,AF7,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,onset,n45,40.0,55.0,9.711232941548028,-9.711232941548028,54.13333333333335,-10.078857983350753,54.60000000000002,31,3,TP10,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,onset,p60,55.0,70.0,18.84984457542499,18.84984457542499,68.66666666666667,20.584834538698196,68.60000000000002,12,3,Fp1,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,onset,n100,80.0,120.0,10.391591094266625,-10.391591094266625,92.06666666666666,-10.818035332653672,94.60000000000002,33,3,TP7,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
08EN,45,real,M1_PA,after,n20,10.0,25.0,5.9742724833885825,-5.9742724833885825,20.666666666666668,-6.34700892329216,22.80000000000001,41,3,PO7,session_45__set_1__cleaned_SOUND.mat; session_45__set_5__cleaned_SOUND.mat,01_08EN_M1_PA_39MSO_real.hdf5; 05_08EN_M1_PA_39MSO_real.hdf5
