subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
09TI,55,real,M1_PA,rest,n20,10.0,25.0,4.748127666215102,-4.748127666215102,24.399999999999977,-5.384492163360119,24.399999999999977,61,3,AF8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,p30,20.0,40.0,3.4522355834643044,3.4522355834643044,27.533333333333342,3.724549623131752,31.600000000000023,0,3,T7,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,n45,40.0,55.0,4.953884809464216,-4.953884809464216,54.0,-5.165198041200638,53.39999999999998,61,3,AF8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,p60,55.0,70.0,3.830877995391687,3.830877995391687,63.333333333333336,4.138191114962101,67.0,31,3,TP10,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,rest,n100,80.0,120.0,6.263903669814269,-6.263903669814269,95.0,-6.5909152522683145,103.0,15,3,Fp2,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n20,10.0,25.0,8.992648982405662,-8.992648982405662,20.53333333333332,-11.424753232300281,21.399999999999977,60,3,F6,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,p30,20.0,40.0,4.866984119806439,4.866984119806439,26.333333333333314,5.199959009271115,26.19999999999999,28,3,CP6,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n45,40.0,55.0,7.824764540257553,-7.824764540257553,47.53333333333334,-8.189933230280877,40.19999999999999,26,3,F8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,p60,55.0,70.0,8.201849283625682,8.201849283625682,64.60000000000001,8.78120283037424,64.60000000000002,3,3,CP5,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n100,80.0,120.0,11.717047840456168,-11.717047840456168,105.13333333333333,-12.856790071129799,112.39999999999998,60,3,F6,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n20,10.0,25.0,2.9555632632349926,-2.9555632632349926,11.266666666666671,-3.4079004890844224,10.399999999999977,45,3,F1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p30,20.0,40.0,3.2714822605997322,3.2714822605997322,30.399999999999995,3.613787465393543,27.399999999999977,41,3,PO7,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n45,40.0,55.0,3.4565196743980047,-3.4565196743980047,50.6,-3.6667340022325514,49.19999999999999,26,3,F8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p60,55.0,70.0,4.825607490800322,4.825607490800322,68.93333333333334,5.078558447659016,69.0,29,3,P8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n100,80.0,120.0,4.3356980408728125,-4.3356980408728125,83.39999999999999,-4.579502228498459,81.39999999999998,12,3,Fp1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
