subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
10ES,52,real,M1_PA,rest,n20,10.0,25.0,7.4887751607348525,-7.4887751607348525,10.53333333333334,-7.494636085033417,10.800000000000011,55,3,PO4,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,rest,p30,20.0,40.0,13.775835762818653,13.775835762818653,30.600000000000005,13.846843408346176,31.0,42,3,C1,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,rest,n45,40.0,55.0,9.092922063569228,-9.092922063569228,48.93333333333334,-9.2727712854743,46.80000000000001,48,3,FCz,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,rest,p60,55.0,70.0,13.790312645435334,13.790312645435334,55.533333333333324,13.95472846031189,55.0,38,3,CP3,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,rest,n100,80.0,120.0,11.832818945000568,-11.832818945000568,96.13333333333334,-11.911538613289595,94.0,38,3,CP3,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,onset,n20,10.0,25.0,6.013594846489529,-6.013594846489529,24.600000000000005,-6.189536065943539,25.0,61,3,AF8,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,onset,p30,20.0,40.0,9.978909160283704,9.978909160283704,28.933333333333337,10.001159471273422,27.80000000000001,42,3,C1,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,onset,n45,40.0,55.0,13.940454868649441,-13.940454868649441,46.20000000000001,-14.030153487920762,46.80000000000001,48,3,FCz,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,onset,p60,55.0,70.0,10.745143071735898,10.745143071735898,55.19999999999999,10.897779890224337,55.0,40,3,PO3,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,onset,n100,80.0,120.0,10.8656995049119,-10.8656995049119,82.8,-11.175116587877273,85.0,16,3,Cz,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,after,n20,10.0,25.0,4.790644808163246,-4.790644808163246,24.80000000000001,-4.801708728969097,24.600000000000023,44,3,AF3,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,after,p30,20.0,40.0,8.364726645549139,8.364726645549139,29.133333333333344,8.538893432617188,29.0,42,3,C1,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,after,n45,40.0,55.0,17.562485931714377,-17.562485931714377,45.06666666666666,-17.843574109077455,46.0,48,3,FCz,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,after,p60,55.0,70.0,8.658109391629695,8.658109391629695,55.19999999999999,8.793040333092213,55.39999999999998,40,3,PO3,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_PA,after,n100,80.0,120.0,9.010319047893086,-9.010319047893086,83.93333333333334,-9.083756950497627,84.60000000000002,16,3,Cz,session_52__set_1__cleaned_SOUND.mat; session_52__set_5__cleaned_SOUND.mat,00_10ES_M1_PA_41MSO_real.hdf5; 04_10ES_M1_PA_41MSO_real.hdf5
10ES,52,real,M1_AP,rest,n20,10.0,25.0,11.893229103883108,-11.893229103883108,10.199999999999989,-12.032723985910415,10.0,42,3,C1,session_52__set_3__cleaned_SOUND.mat; session_52__set_7__cleaned_SOUND.mat,02_10ES_M1_AP_49MSO_real.hdf5; 06_10ES_M1_AP_49MSO_real.hdf5
10ES,52,real,M1_AP,rest,p30,20.0,40.0,9.993717280377945,9.993717280377945,28.466666666666658,10.30679032832384,28.80000000000001,16,3,Cz,session_52__set_3__cleaned_SOUND.mat; session_52__set_7__cleaned_SOUND.mat,02_10ES_M1_AP_49MSO_real.hdf5; 06_10ES_M1_AP_49MSO_real.hdf5
10ES,52,real,M1_AP,rest,n45,40.0,55.0,10.905654545227685,-10.905654545227685,46.00000000000002,-10.983221023082733,43.60000000000002,16,3,Cz,session_52__set_3__cleaned_SOUND.mat; session_52__set_7__cleaned_SOUND.mat,02_10ES_M1_AP_49MSO_real.hdf5; 06_10ES_M1_AP_49MSO_real.hdf5
10ES,52,real,M1_AP,rest,p60,55.0,70.0,8.155007576669256,8.155007576669256,56.80000000000001,8.210101022347807,56.60000000000002,8,3,P3,session_52__set_3__cleaned_SOUND.mat; session_52__set_7__cleaned_SOUND.mat,02_10ES_M1_AP_49MSO_real.hdf5; 06_10ES_M1_AP_49MSO_real.hdf5
10ES,52,real,M1_AP,rest,n100,80.0,120.0,15.600048387050629,-15.600048387050629,96.0,-15.843734095096588,97.0,38,3,CP3,session_52__set_3__cleaned_SOUND.mat; session_52__set_7__cleaned_SOUND.mat,02_10ES_M1_AP_49MSO_real.hdf5; 06_10ES_M1_AP_49MSO_real.hdf5
