subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
14AL,58,real,M1_PA,rest,n20,10.0,25.0,15.658459953715406,-15.658459953715406,13.266666666666652,-17.278002469539643,14.0,20,3,O2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p30,20.0,40.0,7.125661873817443,7.125661873817443,20.666666666666668,8.360679226517677,20.399999999999977,15,3,Fp2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n45,40.0,55.0,4.186653338794907,-4.186653338794907,40.86666666666665,-4.982549581900239,42.0,11,3,O1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,p60,55.0,70.0,3.4447749830782413,3.4447749830782413,61.33333333333335,3.5799053217470647,57.80000000000001,15,3,Fp2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,rest,n100,80.0,120.0,4.630765936647852,-4.630765936647852,86.60000000000001,-5.272359071820975,96.60000000000002,27,3,FT10,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n20,10.0,25.0,14.575283989012242,-14.575283989012242,12.866666666666674,-15.583779815137387,13.800000000000011,20,3,O2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p30,20.0,40.0,5.552015455663205,5.552015455663205,27.600000000000005,6.194116798490286,30.80000000000001,54,3,PO8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n45,40.0,55.0,5.142513572772344,-5.142513572772344,53.40000000000001,-5.327334069311619,54.60000000000002,12,3,Fp1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,p60,55.0,70.0,5.355667921602726,5.355667921602726,66.53333333333332,5.727481997162104,69.19999999999999,43,3,P1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,onset,n100,80.0,120.0,7.327483518247803,-7.327483518247803,97.06666666666665,-7.386027216687799,95.39999999999998,44,3,AF3,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n20,10.0,25.0,16.084621665676433,-16.084621665676433,12.866666666666674,-17.800243501663207,13.600000000000023,20,3,O2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,p30,20.0,40.0,6.429852309490864,6.429852309490864,20.399999999999995,8.50402197599411,20.19999999999999,15,3,Fp2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n45,40.0,55.0,5.124539976213128,-5.124539976213128,42.00000000000002,-5.8829014234244825,40.80000000000001,11,3,O1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
