subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
10ES,52,real,PPC_L,rest,n20,10.0,25.0,21.479236946105956,-21.479236946105956,10.199999999999989,-21.645812969207764,10.0,45,3,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p30,20.0,40.0,15.233179365992546,15.233179365992546,30.333333333333332,15.42639796257019,29.19999999999999,42,3,C1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n45,40.0,55.0,9.794115779002508,-9.794115779002508,46.06666666666666,-10.299345536231995,45.39999999999998,51,3,C2,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p60,55.0,70.0,13.431946852604549,13.431946852604549,61.066666666666684,13.67388998389244,59.60000000000002,43,3,P1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n100,80.0,120.0,12.713066137631733,-12.713066137631733,118.0,-13.14312472820282,118.0,1,3,TP9,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n20,10.0,25.0,20.5859343401591,-20.5859343401591,10.199999999999989,-20.79986806869507,10.0,45,3,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,p30,20.0,40.0,14.806614026923974,14.806614026923974,27.53333333333332,14.951089391708374,27.399999999999977,10,3,CP1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n45,40.0,55.0,8.511779172817866,-8.511779172817866,49.86666666666665,-8.594413042068481,51.39999999999998,13,3,FC1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,p60,55.0,70.0,14.612406231562296,14.612406231562296,55.93333333333334,14.91860237121582,55.60000000000002,43,3,P1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n100,80.0,120.0,9.784492077827453,-9.784492077827453,86.19999999999999,-9.884221858978272,85.39999999999998,10,3,CP1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,after,n20,10.0,25.0,19.44678274790446,-19.44678274790446,10.199999999999989,-19.722436389923097,10.199999999999989,45,3,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,after,p30,20.0,40.0,13.424154212276141,13.424154212276141,26.866666666666674,13.53954216003418,26.600000000000023,10,3,CP1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,after,n45,40.0,55.0,15.118006887435913,-15.118006887435913,46.06666666666666,-15.13488034248352,46.0,48,3,FCz,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,after,p60,55.0,70.0,12.512631785074868,12.512631785074868,68.53333333333335,12.755894861221314,67.80000000000001,15,3,Fp2,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,after,n100,80.0,120.0,11.665315779447555,-11.665315779447555,98.0,-11.72534636259079,96.60000000000002,8,3,P3,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
